Name,State_Born,Batting_Avg,Innings_Pitched,Games,Starts,Strikeouts,Earned_Runs,Walks_Allowed,Hit_Batters,Int_Walks,Hits,Homeruns_Allowed
Daniel Schlereth,AK,0.297,74,73,0,69,33,46,6,8,70,11
Daniel Stumpf,TX,0.316,109,166,0,100,57,48,2,3,125,16
Daniel Webb,KY,0.261,108,93,0,90,55,68,3,6,109,9
Daniel Wright,TN,0.338,58,14,9,32,37,16,7,0,78,8
Daniel Zamora,CA,0.244,17,33,0,24,8,8,2,2,16,2
Danny Barnes,NY,0.253,120,119,0,114,58,51,2,2,109,17
Danny Burawa,NY,0.195,12,12,0,10,5,4,1,0,8,1
Danny Coulombe,MO,0.255,136,148,0,130,66,59,4,3,124,15
Danny Duffy,CA,0.249,1051,209,181,926,466,388,43,5,1006,128
Danny Farquhar,FL,0.228,269,250,0,308,116,104,13,12,233,30
Danny Herrera,TX,0.287,31,52,0,19,11,8,0,0,38,2
Darin Downs,MI,0.243,89,92,0,84,48,39,6,6,82,7
Darren O'Day,FL,0.204,456,487,0,493,125,121,36,15,332,53
Darren Oliver,MO,0.237,217,237,0,201,64,56,9,6,190,16
Dave Bush,PA,0.298,211,49,34,130,112,74,7,8,245,34
David Aardsma,CO,0.226,118,129,0,120,54,58,7,14,97,18
David Bednar,PA,0.25,11,13,0,14,8,5,0,0,10,3
David Buchanan,GA,0.305,191,35,35,115,107,61,11,3,229,24
David Carpenter,WV,0.264,245,243,0,240,98,89,12,14,244,27
David Goforth,MS,0.338,34,30,0,33,24,12,0,3,50,7
David Hale,GA,0.265,221,86,20,145,102,68,7,11,243,23
David Hernandez,CA,0.236,543,527,8,596,236,207,25,19,476,61
David Herndon,FL,0.304,116,97,0,76,50,42,4,11,131,12
David Hess,TN,0.275,183,44,33,142,119,67,10,2,200,50
David Holmberg,TX,0.28,115,50,18,66,70,66,14,4,126,30
David Huff,CA,0.311,259,94,34,164,141,90,7,5,297,43
David McKay,FL,0.202,26,25,0,34,16,17,1,1,20,3
David Pauley,CO,0.306,179,82,15,101,79,57,11,8,180,21
David Phelps,MO,0.246,585,269,65,556,252,233,26,15,546,62
David Price,TN,0.236,1883,293,287,1867,680,469,54,12,1685,189
David Purcey,IL,0.227,89,85,0,74,38,55,2,7,75,7
David Riske,WA,0.269,23,23,0,16,13,8,2,0,25,2
David Robertson,AL,0.206,585,591,0,781,180,228,13,27,435,50
David Rollins,TX,0.323,34,31,0,27,29,15,2,2,49,5
Dean Kiekhefer,KY,0.273,22,26,0,14,13,7,2,4,24,2
Deck McGuire,VA,0.24,50,27,6,44,30,28,6,0,48,10
Dellin Betances,NY,0.202,377,355,0,617,98,164,24,5,227,26
Dereck Rodriguez,TX,0.247,217,49,35,160,99,72,9,2,206,30
Derek Holland,OH,0.258,1234,262,201,1038,600,451,39,16,1229,176
Derek Law,PA,0.265,165,167,4,164,78,71,6,5,166,18
Derek Lowe,MI,0.29,535,114,88,336,285,185,12,19,612,45
Deunte Heath,GA,0.276,7,5,0,3,10,12,0,1,8,2
Devin Smeltzer,NJ,0.265,49,11,6,38,21,12,1,0,50,8
Devin Williams,MO,0.31,13,13,0,14,6,6,2,0,18,2
Dillon Gee,TX,0.271,851,165,128,619,388,268,43,12,874,111
Dillon Maples,NC,0.251,21,29,0,38,20,21,6,0,19,4
Dillon Overton,OK,0.344,42,16,6,25,44,9,1,1,69,16
Dillon Peters,IN,0.289,130,30,23,99,83,60,8,2,151,25
Dillon Tate,CA,0.231,21,16,0,20,15,9,5,0,18,3
Dominic Leone,CT,0.265,238,226,0,253,100,99,4,14,225,30
Donn Roach,NV,0.3,35,20,1,19,21,17,5,1,43,3
Donnie Hart,TX,0.254,86,97,0,57,31,35,4,2,95,8
Donnie Joseph,TX,0.2,5,6,0,7,0,4,0,0,4,0
Donnie Veal,MS,0.203,48,81,0,54,22,27,1,2,37,3
Donovan Hand,AL,0.28,68,31,7,37,28,21,5,1,71,10
Dontrelle Willis,CA,0.286,140,28,26,104,83,93,7,2,150,12
Doug Davis,CA,0.324,83,17,17,70,65,47,5,2,114,8
Doug Fister,CA,0.261,1359,231,216,934,560,317,70,14,1393,129
Doug Mathis,AZ,0.337,22,13,0,10,15,11,0,0,30,7
Doug Slaten,CA,0.259,69,90,0,55,26,36,5,5,69,6
Drake Britton,TX,0.24,27,25,0,21,9,9,0,1,26,1
Drew Anderson,NV,0.28,18,7,1,17,12,8,2,2,23,1
Drew Carpenter,CA,0.28,23,18,0,25,18,13,0,1,26,7
Drew Gagnon,CA,0.317,35,23,1,25,29,12,4,0,49,13
Drew Hayes,TN,0.357,9,6,0,8,9,6,0,1,15,3
Drew Hutchison,FL,0.288,457,98,79,415,261,157,27,1,489,68
Drew Pomeranz,TN,0.247,810,242,140,824,365,349,23,8,758,107
Drew Rucinski,WI,0.3,49,39,1,39,27,21,6,4,53,3
Drew Smith,TX,0.309,28,27,0,18,11,6,2,0,34,2
Drew Smyly,AR,0.242,681,181,106,672,316,216,9,6,649,109
Drew Steckenrider,GA,0.209,112,123,0,142,47,50,3,6,94,17
Drew Storen,IN,0.236,437,470,0,417,169,132,32,20,394,38
Drew VerHagen,TX,0.28,198,127,8,156,113,75,9,5,209,29
Duane Below,MI,0.266,75,41,3,43,34,19,2,2,77,8
Duane Underwood,NC,0.277,11,12,0,13,7,3,1,0,13,2
Dustin May,TX,0.25,34,14,4,32,14,5,4,0,33,2
Dustin McGowan,GA,0.242,295,215,13,255,140,138,10,15,274,46
Dustin Moseley,TX,0.262,190,37,30,101,85,65,4,6,188,24
Dustin Nippert,WV,0.277,56,38,2,47,27,34,5,3,61,7
Dustin Richardson,KS,0.3,13,26,0,12,6,14,1,1,15,2
Dusty Hughes,MS,0.319,68,72,0,45,38,32,6,2,78,7
Dylan Axelrod,CA,0.255,227,59,34,164,134,85,9,7,269,43
Dylan Bundy,OK,0.257,610,125,103,602,319,205,25,5,610,114
Dylan Cease,GA,0.271,73,14,14,81,47,35,2,1,78,15
Dylan Covey,CA,0.293,249,63,45,173,182,114,6,7,287,45
Dylan Floro,CA,0.283,133,119,0,120,52,44,4,12,141,9
Eddie Bonine,GA,0.305,68,47,1,26,35,22,3,2,84,7
Eddie Butler,VA,0.299,262,79,39,153,170,117,11,9,321,43
Eddie Gamboa,CA,0.196,13,7,0,11,2,8,0,0,9,1
Edgar Olmos,CA,0.316,19,11,2,6,11,11,1,2,23,3
Emilio Pagan,SC,0.207,182,155,0,215,66,40,5,2,139,32
Eric Fornataro,TX,0.282,9,8,0,3,5,1,1,0,11,0
Eric Hacker,TX,0.284,14,6,1,10,6,6,1,1,18,2
Eric Jokisch,IL,0.29,14,4,1,10,3,4,0,0,18,3
Eric Lauer,OH,0.277,261,53,52,238,128,97,11,6,285,35
Eric O'Flaherty,WA,0.266,287,340,0,233,106,105,12,17,276,21
Eric Skoglund,FL,0.319,109,27,22,67,80,40,7,0,126,19
Eric Stults,IN,0.257,536,100,88,335,244,129,9,7,567,65
Eric Surkamp,OH,0.294,88,50,15,55,60,51,8,6,109,12
Eric Yardley,WA,0.261,11,10,0,7,3,3,1,0,12,1
Erick Fedde,NV,0.316,143,35,26,102,86,63,3,5,161,24
Erick Threets,CA,0.22,12,11,0,6,0,3,0,0,9,0
Erik Cordier,WI,0.244,18,15,0,16,9,8,4,1,18,1
Erik Davis,CA,0.278,8,10,0,12,3,1,0,0,10,0
Erik Goeddel,CA,0.2,139,141,0,153,58,58,4,7,114,18
Erik Hamren,CA,0.244,12,14,0,10,6,9,2,1,10,2
Erik Johnson,CA,0.3,115,22,22,87,69,54,4,1,137,28
Erik Swanson,ND,0.243,58,27,8,52,37,12,2,1,56,17
Ethan Martin,GA,0.261,40,15,8,47,27,26,1,2,42,9
Evan Crawford,AL,0.333,8,10,0,5,6,4,1,1,10,3
Evan Marshall,CA,0.332,141,156,0,124,67,63,4,9,164,14
Evan Meek,WA,0.268,135,129,0,111,51,60,7,5,120,10
Evan Phillips,MD,0.277,39,34,1,48,37,30,6,0,45,7
Evan Reed,CA,0.302,55,48,0,43,26,20,4,1,67,4
Evan Scribner,CT,0.251,167,145,0,155,78,29,4,1,161,27
Everett Teaford,GA,0.255,110,48,8,67,51,38,4,1,109,19
Fernando Rodriguez,TX,0.211,229,215,0,241,110,107,6,13,196,23
Frank Herrmann,NJ,0.27,134,109,0,86,71,34,3,1,151,21
Gabe Speier,CA,0.185,7,9,0,10,6,6,0,0,5,2
Garrett Olson,CA,0.271,37,35,0,31,19,15,0,1,42,6
Garrett Richards,CA,0.246,750,173,118,656,301,274,18,9,672,64
Gavin Floyd,MD,0.251,670,140,104,553,307,203,38,10,661,72
Geoff Hartlieb,IL,0.351,35,29,0,38,35,18,0,0,52,8
George Kontos,IL,0.221,351,349,0,286,123,103,7,13,308,38
George Sherrill,TN,0.28,72,116,0,63,39,36,2,5,79,7
Gerrit Cole,CA,0.238,1194,192,192,1336,427,315,42,6,1034,115
Gil Meche,LA,0.273,61,20,9,41,39,38,2,3,65,9
Gio Gonzalez,FL,0.231,1764,302,300,1683,686,715,44,18,1559,142
Glen Perkins,MN,0.262,337,340,1,356,119,83,16,13,312,34
Glenn Sparkman,TX,0.3,174,46,26,108,110,56,7,4,211,33
Graham Godfrey,FL,0.311,46,10,8,23,26,15,4,0,58,7
Grant Dayton,AL,0.208,61,68,0,73,23,22,1,1,45,13
Greg Burke,NJ,0.312,31,32,0,28,20,15,0,2,43,3
Greg Holland,NC,0.212,456,466,0,588,151,207,3,17,342,30
Greg Mahle,CA,0.315,18,24,0,14,11,10,2,2,23,4
Greg Reynolds,CA,0.313,61,19,8,31,40,16,5,3,78,11
Greg Smith,LA,0.322,39,8,8,31,27,24,1,2,49,8
Griffin Canning,CA,0.235,90,18,17,96,46,30,8,0,80,14
Guido Knudson,CA,0.464,5,4,0,6,10,3,0,1,13,5
Gus Schlosser,FL,0.329,17,15,0,8,15,6,1,1,23,2
Harrison Musgrave,WV,0.228,54,45,0,44,27,29,1,3,45,7
Heath Bell,CA,0.266,277,286,0,280,112,102,10,10,275,23
Heath Fillmyer,NJ,0.282,104,29,16,72,59,44,5,0,106,17
Heath Hembree,SC,0.241,254,249,0,272,100,96,5,8,250,39
Hector Ambriz,CA,0.29,103,95,0,86,62,42,4,4,132,18
Hector Santiago,NJ,0.237,917,257,139,826,424,429,50,15,850,143
Henry Owens,CA,0.27,85,16,16,71,49,44,4,1,85,12
Hoby Milner,TX,0.259,31,37,0,22,7,16,4,3,30,2
Homer Bailey,TX,0.28,1197,206,206,1018,589,363,49,28,1232,151
Horacio Ramirez,CA,0.432,9,12,0,4,6,2,0,0,16,1
Hunter Cervenka,TX,0.232,43,68,0,42,17,28,1,5,31,3
Hunter Harvey,NC,0.136,6,7,0,11,1,4,0,0,3,1
Hunter Strickland,GA,0.226,246,277,0,226,85,87,9,10,211,22
Hunter Wood,AR,0.262,86,65,10,81,32,30,1,2,88,11
Huston Street,TX,0.226,343,353,0,321,116,91,3,17,287,45
Ian Gibaut,TX,0.244,12,9,0,14,7,8,1,1,11,1
Ian Hamilton,NH,0.207,8,10,0,5,4,2,1,0,6,2
Ian Kennedy,CA,0.249,1705,340,277,1590,764,559,76,21,1605,240
Ian Krol,IL,0.278,187,224,0,176,95,72,11,9,205,27
Ian Snell,DE,0.308,46,12,8,26,33,25,1,0,60,10
Ian Thomas,VA,0.237,33,30,1,36,15,17,0,1,30,2
J. A. Happ,IL,0.245,1486,271,261,1347,679,533,31,13,1424,197
J. B. Wendelken,GA,0.215,60,48,0,60,28,23,2,2,47,6
J. D. Hammer,CO,0.217,19,20,0,13,8,12,0,0,15,2
J. D. Martin,CA,0.287,48,9,9,31,22,11,1,1,56,9
J. J. Hoover,PA,0.236,281,288,0,294,129,139,7,13,240,44
J. J. Putz,MI,0.23,213,235,0,243,67,61,6,5,170,17
J. P. Howell,CA,0.243,296,381,0,259,104,124,13,10,258,25
J. R. Graham,CA,0.287,63,39,1,53,35,21,4,0,73,10
J. T. Chargois,LA,0.262,76,85,0,85,39,32,5,5,72,8
Jace Fry,OR,0.266,112,138,1,141,62,68,4,4,93,12
Jack Flaherty,CA,0.225,368,67,66,433,131,124,19,6,266,49
Jack Leathersich,MA,0.273,11,17,0,14,3,7,1,0,12,0
Jack Taschner,WI,0.275,19,17,0,17,13,8,0,0,22,3
Jackson Stephens,AL,0.258,63,36,4,54,34,24,4,3,69,13
Jacob Barnes,FL,0.251,178,182,1,185,85,84,3,8,168,20
Jacob Lindgren,MS,0.208,7,7,0,8,4,4,0,0,5,3
Jacob Nix,CA,0.304,42,9,9,21,33,13,4,0,52,8
Jacob Rhame,GA,0.259,47,44,0,40,33,24,1,2,53,11
Jacob Turner,MO,0.311,364,101,55,235,215,143,9,12,420,49
Jacob Waguespack,LA,0.249,78,16,13,63,38,29,5,0,75,12
Jacob Webb,CA,0.205,32,36,0,28,5,12,1,0,24,4
Jacob deGrom,FL,0.223,1101,171,171,1255,321,266,20,13,894,95
Jaime Schultz,NY,0.246,35,26,1,38,23,20,3,0,24,7
Jake Arrieta,MO,0.238,1464,252,246,1318,607,511,57,20,1268,151
Jake Barrett,CA,0.255,93,103,0,88,42,45,3,6,82,14
Jake Brigham,FL,0.384,16,12,0,12,16,8,1,1,28,1
Jake Buchanan,NC,0.246,64,29,3,33,34,24,5,3,73,7
Jake Diekman,NE,0.219,370,441,0,467,162,208,29,15,316,23
Jake Dunning,GA,0.225,25,29,0,16,8,11,3,1,20,2
Jake Esch,MN,0.327,13,3,3,10,8,6,1,1,17,4
Jake Faria,CA,0.291,169,49,26,153,86,76,9,1,159,25
Jake Jewell,OK,0.275,26,18,0,23,20,8,3,0,28,8
Jake McGee,CA,0.226,452,522,0,497,184,131,14,15,401,55
Jake Newberry,CA,0.252,44,41,0,40,20,25,1,2,42,10
Jake Odorizzi,IL,0.241,1026,191,188,983,444,355,28,7,918,137
Jake Peavy,AL,0.249,1011,173,162,841,466,267,33,11,965,123
Jake Petricka,MN,0.278,230,228,0,175,102,97,10,10,255,18
Jake Thompson,TX,0.257,115,30,18,81,63,61,9,3,117,20
Jake Westbrook,GA,0.276,675,115,113,382,327,243,28,15,734,55
Jakob Junis,IL,0.268,450,81,77,408,235,126,35,3,475,78
Jalen Beeks,AR,0.303,154,47,4,131,81,64,12,1,167,18
James Hoyt,ID,0.222,79,73,0,104,37,25,3,1,73,14
James Karinchak,NY,0.15,5,5,0,8,1,1,0,0,3,0
James Marvel,CA,0.338,17,4,4,9,16,6,2,0,25,4
James McDonald,CA,0.269,442,82,78,386,211,196,14,16,422,50
James Norwood,NY,0.274,20,20,0,21,8,13,0,0,23,1
James Pazos,AZ,0.218,118,142,0,123,41,46,10,2,108,12
James Russell,OH,0.257,328,387,6,239,143,95,9,22,331,41
James Shields,CA,0.257,1838,289,287,1619,822,580,69,16,1791,262
Jameson Taillon,FL,0.255,465,82,82,419,190,117,15,9,464,48
Jamey Wright,OK,0.259,333,299,2,249,137,135,21,18,321,18
Jamie Callahan,SC,0.25,6,9,0,5,3,1,0,0,7,0
Jamie Moyer,PA,0.284,164,29,29,99,94,38,8,2,178,31
Jared Burton,SC,0.223,192,203,0,162,74,63,13,9,160,17
Jared Hughes,CT,0.24,516,524,0,350,166,176,35,23,457,44
Jared Walsh,WI,0.176,5,5,0,5,1,6,0,0,3,0
Jarred Cosart,TX,0.254,389,74,72,248,173,199,8,4,369,26
Jarrod Parker,IN,0.234,383,62,62,275,157,127,10,5,348,36
Jason Adam,KS,0.223,53,54,0,55,29,25,6,2,45,10
Jason Berken,WI,0.297,127,85,4,97,59,46,2,5,150,18
Jason Bulger,GA,0.226,33,30,0,32,14,25,2,1,31,5
Jason Frasor,IL,0.247,283,331,0,287,102,128,11,17,261,25
Jason Garcia,NY,0.223,29,21,0,22,14,17,2,1,25,3
Jason Grilli,MI,0.234,324,357,0,432,133,131,14,13,278,41
Jason Gurka,TX,0.407,16,15,0,14,18,4,0,0,32,2
Jason Hammel,SC,0.263,1422,270,240,1155,708,429,57,19,1472,185
Jason Hursh,TX,0.317,10,9,0,7,6,4,1,1,13,1
Jason Isringhausen,IL,0.231,91,103,0,75,42,43,1,5,80,13
Jason Lane,CA,0.179,10,3,1,6,1,0,0,0,7,1
Jason Marquis,NY,0.314,480,87,87,307,269,191,22,8,551,71
Jason Motte,MI,0.235,328,363,0,305,115,99,14,13,272,39
Jason Vargas,CA,0.255,1422,244,243,1005,652,421,36,19,1428,183
Javy Guerra,TX,0.26,276,249,0,228,116,110,15,18,274,24
Jay Buente,IN,0.34,11,8,0,9,8,11,0,2,16,0
Jay Jackson,SC,0.202,30,28,0,47,15,18,2,1,22,6
Jaye Chapman,FL,0.2,12,14,0,12,5,10,0,2,8,0
Jed Bradley,AL,0.269,7,6,0,4,4,6,0,2,7,0
Jeff Beliveau,RI,0.263,56,71,0,62,29,25,4,3,57,10
Jeff Brigham,WA,0.26,54,36,4,51,30,27,3,2,52,10
Jeff Ferrell,NC,0.331,20,20,0,12,15,9,0,1,29,5
Jeff Fulchino,FL,0.273,80,86,0,77,48,40,3,5,87,12
Jeff Gray,TX,0.283,109,86,0,53,63,48,6,2,122,14
Jeff Hoffman,NY,0.312,208,52,38,177,142,98,8,6,235,43
Jeff Karstens,CA,0.273,374,75,60,234,168,75,6,11,398,51
Jeff Locke,NH,0.282,674,130,117,481,345,264,22,17,702,72
Jeff Manship,TX,0.264,185,141,5,136,96,71,2,9,184,22
Jeff Niemann,TX,0.235,347,61,60,270,159,110,14,7,320,45
Jeff Samardzija,IN,0.246,1562,314,235,1397,705,457,56,22,1464,191
Jeff Stevens,CA,0.239,24,22,0,19,16,17,1,0,25,5
Jeff Suppan,OK,0.321,131,36,21,58,75,50,2,4,164,17
Jeff Weaver,CA,0.291,44,43,0,26,30,20,1,5,48,5
Jeffrey Springs,NC,0.276,64,43,2,63,35,37,1,1,70,8
Jensen Lewis,OH,0.215,36,37,0,29,12,19,0,1,28,1
Jerad Eickhoff,IN,0.278,439,80,76,396,203,126,15,6,437,70
Jered Weaver,CA,0.248,1393,221,221,1075,555,353,40,6,1271,184
Jeremy Accardo,AZ,0.328,78,62,0,54,48,37,2,5,93,8
Jeremy Affeldt,AZ,0.248,297,340,0,238,111,116,20,17,277,19
Jeremy Bonderman,WA,0.275,225,48,36,144,138,87,12,4,245,32
Jeremy Guthrie,OR,0.278,1159,194,182,669,571,318,65,10,1249,163
Jeremy Hefner,OK,0.274,223,50,36,161,116,55,7,5,242,29
Jeremy Hellickson,IA,0.252,1267,232,224,929,583,385,45,21,1206,184
Jeremy Horst,WY,0.271,72,72,0,70,27,32,3,3,74,7
Jeremy Jeffress,VA,0.249,393,389,1,366,137,160,15,19,369,30
Jeremy Walker,NC,0.265,9,6,0,6,2,4,0,0,9,0
Jerome Williams,HI,0.295,602,160,78,397,324,181,23,9,673,84
Jerry Blevins,TN,0.205,428,547,1,447,165,174,24,23,358,45
Jess Todd,TX,0.333,6,5,0,9,5,3,0,0,9,0
Jesse Biddle,PA,0.288,90,90,0,93,48,53,7,6,92,11
Jesse Carlson,CT,0.25,13,20,0,8,7,5,1,2,13,3
Jesse Chavez,CA,0.268,827,371,79,753,408,257,22,23,847,123
Jesse English,CA,0.323,7,7,0,4,3,2,0,0,10,0
Jesse Hahn,CT,0.262,284,53,50,212,133,103,15,3,280,21
Jesse Litsch,FL,0.266,121,37,17,82,67,43,5,2,122,17
Jim Hoey,NJ,0.33,24,26,0,14,15,13,0,0,34,4
Jim Johnson,NY,0.27,557,554,1,443,238,181,29,21,565,45
Jim Miller,NJ,0.174,55,39,0,49,16,31,3,2,42,6
Jimmie Sherfy,CA,0.197,44,43,0,48,15,17,3,1,36,5
Jimmy Herget,FL,0.348,6,5,0,0,3,3,0,0,8,2
Jimmy Nelson,OR,0.237,632,119,107,578,297,240,49,8,629,69
Jimmy Yacabonis,NJ,0.272,101,55,11,74,65,56,7,2,109,19
Jo-Jo Reyes,CA,0.3,140,29,25,87,87,48,7,0,176,21
Joba Chamberlain,NE,0.26,271,292,0,261,122,105,10,11,274,30
Joe Beimel,PA,0.277,162,215,0,85,64,54,3,11,168,23
Joe Biagini,CA,0.291,322,217,22,272,175,111,14,4,361,46
Joe Blanton,KY,0.272,737,261,90,641,380,175,15,26,822,114
Joe Harvey,PA,0.262,18,18,0,17,10,13,2,0,18,3
Joe Kelly,CA,0.252,675,305,79,560,295,276,32,9,661,61
Joe Martinez,NJ,0.28,24,11,1,12,10,9,2,2,30,1
Joe Musgrove,CA,0.259,456,100,75,410,222,106,24,5,457,60
Joe Nathan,TX,0.22,230,243,0,248,85,78,7,9,189,21
Joe Nelson,CA,0.359,8,8,0,9,9,6,0,0,14,2
Joe Palumbo,NY,0.3,16,7,4,21,17,8,2,0,21,7
Joe Paterson,CA,0.224,34,62,0,28,11,15,4,0,28,1
Joe Ross,CA,0.271,334,78,57,294,160,107,15,6,351,42
Joe Saunders,VA,0.297,810,134,134,463,401,251,15,12,931,108
Joe Savery,TX,0.24,45,37,0,30,22,19,1,1,41,5
Joe Smith,OH,0.221,550,609,0,488,175,172,25,20,444,43
Joe Thatcher,IN,0.274,167,306,0,182,57,54,9,7,160,12
Joe Wieland,NV,0.316,51,12,10,39,37,19,1,3,61,11
Joel Hanrahan,IA,0.24,203,214,0,233,68,84,6,2,164,19
Joel Kuhnel,NC,0.216,9,11,0,9,5,5,0,0,8,1
Joel Zumaya,CA,0.229,38,31,0,34,11,11,0,0,32,1
Joey Devine,KS,0.214,23,26,0,20,9,11,2,0,18,0
Joey Lucchesi,CA,0.244,293,56,56,303,135,99,6,2,269,46
John Brebbia,MA,0.212,173,161,0,198,61,54,8,7,139,19
John Curtiss,TX,0.283,14,17,0,17,12,6,1,1,17,2
John Danks,TX,0.276,966,156,156,685,490,307,28,9,1007,126
John Ely,IL,0.261,112,23,19,89,67,47,2,3,117,14
John Gant,GA,0.244,247,117,28,215,107,122,5,8,213,24
John Gast,FL,0.234,12,3,3,8,7,5,0,0,11,1
John Grabow,CA,0.296,87,86,0,58,54,41,2,4,102,14
John Holdzkom,CA,0.133,9,9,0,14,2,2,0,0,4,1
John Lackey,TX,0.263,1337,214,213,1093,601,374,60,13,1343,168
John Lamb,CA,0.308,129,27,27,127,90,54,3,1,157,26
John Lannan,NY,0.285,433,78,78,232,209,166,20,8,488,35
John Maine,VA,0.369,46,13,9,46,37,30,2,2,62,10
John Means,KS,0.234,155,31,27,121,62,38,5,0,138,23
John Parrish,PA,0.19,6,9,0,4,2,5,0,0,4,2
John Schreiber,MI,0.296,13,13,0,19,9,4,1,0,16,3
Johnny Barbato,FL,0.289,47,44,0,40,33,28,5,1,49,9
Johnny Hellweg,MI,0.325,30,8,7,9,23,26,8,0,40,3
Jon Duplantier,DE,0.283,36,15,3,34,18,18,5,1,39,2
Jon Edwards,IL,0.231,40,49,0,46,17,31,3,0,36,8
Jon Garland,CA,0.277,322,54,54,196,147,130,10,12,316,35
Jon Gray,OK,0.271,640,115,114,670,318,211,26,9,645,78
Jon Lester,WA,0.246,1975,320,320,1868,778,616,65,6,1847,207
Jon Link,OH,0.333,8,9,0,4,4,4,0,1,12,0
Jon Moscot,CA,0.271,32,8,8,16,25,15,1,1,37,12
Jon Rauch,KY,0.269,182,200,0,139,85,47,4,6,185,22
Jonathan Broxton,GA,0.258,353,386,0,338,153,142,13,17,339,32
Jonathan Hernandez,TN,0.219,16,9,2,19,8,13,0,0,14,3
Jonathan Holder,MS,0.253,154,139,2,151,74,42,6,5,149,18
Jonathan Papelbon,LA,0.227,425,421,0,462,136,108,22,13,357,36
Jonathan Pettibone,CA,0.34,109,20,20,72,54,41,5,4,126,11
Jonathon Niese,OH,0.278,1147,203,189,885,515,350,41,15,1232,128
Jonny Venters,KY,0.213,263,280,1,285,71,126,19,15,201,10
Jordan Hicks,TX,0.186,105,102,0,101,41,56,9,2,75,4
Jordan Lyles,SC,0.274,905,245,143,696,516,315,44,16,991,122
Jordan Montgomery,SC,0.238,182,35,35,167,78,63,1,0,165,24
Jordan Smith,UT,0.332,62,54,0,39,34,19,3,2,77,10
Jordan Walden,TX,0.212,221,243,0,266,74,96,2,10,176,13
Jordan Yamamoto,HI,0.191,78,15,15,82,39,36,5,1,54,11
Jordan Zimmermann,WI,0.268,1508,258,257,1173,673,313,55,12,1559,184
Josh Beckett,TX,0.257,648,107,107,571,294,203,28,14,617,87
Josh Collmenter,MI,0.263,694,214,78,494,281,168,15,19,665,88
Josh Edgin,PA,0.237,127,177,0,116,50,52,9,4,113,13
Josh Fields,GA,0.237,274,288,0,312,114,91,5,14,231,30
Josh Hader,MD,0.148,203,151,0,349,55,72,9,3,102,28
Josh James,FL,0.193,84,55,4,129,38,42,6,0,61,13
Josh Johnson,MN,0.243,515,84,84,490,195,163,13,14,479,38
Josh Judy,WV,0.321,14,12,0,10,11,4,4,0,18,4
Josh Kinney,PA,0.264,49,48,0,56,27,22,5,4,47,4
Josh Lindblom,IN,0.264,140,113,5,129,65,59,6,7,135,17
Josh Lucas,FL,0.261,36,22,1,37,23,20,2,0,37,5
Josh Lueke,KY,0.282,83,69,0,73,53,30,2,3,95,12
Josh Osich,ID,0.27,186,217,0,166,102,76,6,3,185,35
Josh Outman,MO,0.267,176,132,16,152,96,82,3,4,187,18
Josh Ravin,CA,0.191,34,33,0,44,20,17,2,1,27,8
Josh Roenicke,MD,0.248,185,161,0,129,81,99,6,9,180,17
Josh Rogers,IN,0.323,25,8,3,11,25,11,4,0,35,9
Josh Rupe,VA,0.309,23,20,0,15,15,13,2,0,30,6
Josh Sborz,DC,0.286,9,7,0,7,8,4,0,0,10,2
Josh Smith,FL,0.269,165,93,11,144,100,78,11,7,178,29
Josh Smoker,GA,0.324,76,81,0,95,47,41,4,8,91,16
Josh Staumont,CA,0.273,19,16,0,15,8,10,1,1,21,4
Josh Stinson,LA,0.242,52,39,2,29,26,21,3,0,47,8
Josh Taylor,AZ,0.229,47,52,1,62,16,16,2,1,40,5
Josh Tomlin,TX,0.269,974,233,145,663,509,140,23,14,1049,181
Josh Wall,LA,0.322,12,13,0,11,17,7,1,3,20,3
Josh Zeid,CT,0.298,47,48,0,42,28,19,2,2,56,9
Justin Anderson,TX,0.223,102,111,0,127,54,72,5,3,84,9
Justin Berg,WI,0.265,52,49,0,20,28,26,5,2,56,4
Justin De Fratus,CA,0.238,188,186,0,167,87,74,13,10,189,16
Justin Duchscherer,SD,0.255,28,5,5,18,9,12,1,0,26,3
Justin Dunn,NY,0.105,6,4,4,5,2,9,0,0,2,0
Justin Germano,CA,0.276,121,48,13,89,76,37,16,4,136,15
Justin Grimm,TN,0.255,349,301,19,358,196,154,9,7,343,43
Justin Haley,CA,0.312,25,14,0,14,16,9,1,0,32,5
Justin Hampson,IL,0.194,10,13,0,4,2,5,0,0,6,0
Justin Hancock,OH,0.125,12,10,0,11,2,9,0,0,5,1
Justin Marks,KY,0.212,9,4,0,6,1,9,0,0,7,1
Justin Miller,CA,0.251,178,169,0,189,89,62,9,3,165,29
Justin Nicolino,FL,0.299,201,50,33,86,104,60,7,8,234,24
Justin Shafer,FL,0.23,47,40,0,41,20,32,2,4,47,7
Justin Thomas,OH,0.375,13,12,0,5,9,5,0,1,21,3
Justin Verlander,VA,0.214,2140,321,321,2260,737,568,52,10,1738,228
Justin Wilson,CA,0.22,402,449,0,444,147,182,12,11,327,31
Justus Sheffield,TN,0.303,36,8,7,37,22,18,3,0,44,5
Kam Mickolio,MT,0.357,6,6,0,7,5,3,0,0,10,0
Kameron Loe,CA,0.302,223,215,1,177,102,61,7,8,237,30
Kanekoa Texeira,HI,0.34,66,49,0,33,35,28,3,2,86,3
Keith Butler,KY,0.181,20,16,0,16,9,11,1,0,13,0
